Apples (fresh),1 large apple,,130.00,0.24,0.30,0.10,0.00,0.00,0.00,34.00,5.00,25.00,1.00,2.00,8.00,2.00,2.00,0.77,45.64,85.87,21.94,0.12
Apricots (fresh),4 apricots,,68.00,0.14,0.60,0.00,0.00,0.00,1.00,15.60,2.80,12.90,2.00,52.00,20.00,0.00,0.00,0.97,72.64,71.60,15.33,0.05
Avocados (fresh),1/5 medium avocado,,50.00,0.03,4.50,0.90,0.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00,4.00,0.00,2.00,0.03,12.54,18.80,4.40,0.03
Bananas (fresh),1 banana,,110.00,0.13,0.40,0.10,0.00,0.00,0.00,30.00,3.00,19.00,1.00,2.00,15.00,0.00,2.00,1.51,25.92,64.98,6.87,0.19
Blueberries (fresh),1 cup,,84.00,0.15,0.50,0.00,0.00,0.00,1.00,21.50,3.60,14.70,1.10,1.00,24.00,0.00,2.00,1.33,47.11,42.22,28.93,0.06
Cantaloupe (fresh),1/4 medium melon,,50.00,0.13,0.30,0.10,0.00,0.00,20.00,12.00,1.00,11.00,1.00,120.00,80.00,2.00,2.00,3.22,4.43,13.75,8.86,0.04
Cherries (fresh),1 cup or 20 cherries,,100.00,0.14,0.30,0.10,0.00,0.00,0.00,26.00,1.00,16.00,1.00,2.00,15.00,2.00,2.00,0.97,81.86,108.42,21.09,0.05
Cranberries (fresh),1/2 cup,,23.00,0.05,0.10,0.00,0.00,0.00,1.00,6.00,1.80,2.10,0.20,0.50,11.00,0.00,0.50,0.49,5.54,4.43,4.00,0.02
Grapefruit (fresh),1/2 medium grapefruit,,60.00,0.15,0.20,0.00,0.00,0.00,0.00,15.00,2.00,11.00,1.00,35.00,100.00,4.00,0.00,0.86,44.13,7.94,10.98,0.11
Grapes (fresh),3/4 cup,,90.00,0.13,0.50,0.20,0.00,0.00,15.00,23.00,1.00,20.00,0.00,0.00,2.00,2.00,0.00,1.10,19.29,34.30,10.95,0.05
Honeydew (fresh),1/10 medium melon,,50.00,0.13,0.20,0.10,0.00,0.00,30.00,12.00,1.00,11.00,1.00,2.00,45.00,2.00,2.00,3.22,4.43,13.75,8.86,0.04
Kiwis (fresh),2 medium kiwis,,90.00,0.15,0.80,0.00,0.00,0.00,0.00,20.00,4.00,13.00,1.00,2.00,240.00,4.00,2.00,17.00,48.50,37.10,10.60,0.10
